feature;before;after;abs_diff;rel_diff
K;4736793.00000000;4885586.00000000;148793.00000000;0.03141218
GLNU;486506.84834887;478485.89162160;8020.95672727;0.01648683
RLNU;1112862.79568370;1162984.39931136;50121.60362766;0.04503844
GLNU_norm;0.10270807;0.09793828;0.00476979;0.04644022
RLNU_norm;0.23494014;0.23804399;0.00310386;0.01321126
