1: [("𐒓", 1.000000), ("𐒐", 0.963274), ("𐒍", 0.954061), ("𐒅", 0.950333), ("𐒑", 0.947405), ("𐒙", 0.945875), ("𐒊", 0.943091), ("𐒝", 0.938824), ("𐒒", 0.937634), ("𐒆", 0.935949), ("𐒂", 0.933887), ("𐒄", 0.929504), ("𐒌", 0.929239), ("𐒈", 0.923535), ("𐒜", 0.920684), ("𐒔", 0.918978), ("𐒀", 0.915585), ("𐒕", 0.907867), ("𐒖", 0.901974), ("𐒛", 0.900922), ("𐒗", 0.893601), ("𐒋", 0.890514), ("𐒉", 0.889127), ("𐒁", 0.873761), ("𐒚", 0.870560), ("𐒎", 0.869245), ("𐒘", 0.859987), ("𐒏", 0.841134), ("𐒃", 0.808553), ("𐒇", 0.781780)]
2: [("𐒛", 0.984138), ("𐒉", 0.965910), ("𐒘", 0.946702), ("𐒆", 0.935595), ("𐒍", 0.930590), ("𐒄", 0.929523), ("𐒀", 0.925108), ("𐒔", 0.914438), ("𐒂", 0.913337), ("𐒒", 0.912843), ("𐒋", 0.910543), ("𐒐", 0.907333), ("𐒁", 0.904282), ("𐒖", 0.903148), ("𐒈", 0.902768), ("𐒑", 0.897300), ("𐒎", 0.896057), ("𐒓", 0.894043), ("𐒊", 0.890174), ("𐒕", 0.888693), ("𐒚", 0.885223), ("𐒌", 0.883780), ("𐒅", 0.882462), ("𐒏", 0.882150), ("𐒙", 0.865068), ("𐒜", 0.857846), ("𐒝", 0.852863), ("𐒃", 0.843467), ("𐒗", 0.832350), ("𐒇", 0.823212)]
3: [("𐒒", 0.985824), ("𐒈", 0.978796), ("𐒀", 0.970644), ("𐒔", 0.967915), ("𐒑", 0.959414), ("𐒐", 0.954075), ("𐒋", 0.949969), ("𐒄", 0.949241), ("𐒍", 0.947313), ("𐒆", 0.945941), ("𐒅", 0.937323), ("𐒌", 0.935088), ("𐒎", 0.929246), ("𐒓", 0.927900), ("𐒉", 0.927477), ("𐒕", 0.925646), ("𐒂", 0.923739), ("𐒜", 0.923325), ("𐒁", 0.921278), ("𐒖", 0.920368), ("𐒛", 0.914645), ("𐒊", 0.907673), ("𐒙", 0.898868), ("𐒚", 0.897239), ("𐒘", 0.896919), ("𐒏", 0.895245), ("𐒝", 0.892644), ("𐒗", 0.885599), ("𐒃", 0.858504), ("𐒇", 0.788151)]
4: [("𐒏", 1.000000), ("𐒎", 0.957012), ("𐒃", 0.939477), ("𐒋", 0.933895), ("𐒁", 0.930996), ("𐒘", 0.911198), ("𐒀", 0.906525), ("𐒉", 0.905634), ("𐒔", 0.902658), ("𐒈", 0.898119), ("𐒒", 0.885767), ("𐒄", 0.880261), ("𐒛", 0.873888), ("𐒑", 0.872708), ("𐒕", 0.871977), ("𐒚", 0.871496), ("𐒆", 0.870566), ("𐒌", 0.864762), ("𐒍", 0.863900), ("𐒐", 0.863151), ("𐒖", 0.862680), ("𐒅", 0.854854), ("𐒂", 0.853995), ("𐒜", 0.853754), ("𐒓", 0.841134), ("𐒊", 0.828362), ("𐒗", 0.828330), ("𐒙", 0.817732), ("𐒝", 0.814145), ("𐒇", 0.775571)]
5: [("𐒚", 1.000000), ("𐒖", 0.944023), ("𐒂", 0.916369), ("𐒀", 0.915969), ("𐒋", 0.903689), ("𐒑", 0.898171), ("𐒆", 0.895921), ("𐒎", 0.894535), ("𐒈", 0.890631), ("𐒉", 0.889812), ("𐒒", 0.889389), ("𐒍", 0.886310), ("𐒊", 0.883648), ("𐒔", 0.877960), ("𐒛", 0.877940), ("𐒘", 0.876067), ("𐒐", 0.874553), ("𐒙", 0.873914), ("𐒏", 0.871496), ("𐒓", 0.870560), ("𐒄", 0.866929), ("𐒝", 0.865142), ("𐒅", 0.856351), ("𐒁", 0.855858), ("𐒜", 0.853155), ("𐒌", 0.847753), ("𐒕", 0.838175), ("𐒇", 0.836358), ("𐒃", 0.832998), ("𐒗", 0.813767)]
6: [("𐒃", 1.000000), ("𐒏", 0.939477), ("𐒎", 0.912155), ("𐒁", 0.901371), ("𐒋", 0.893138), ("𐒘", 0.874636), ("𐒉", 0.867291), ("𐒔", 0.867224), ("𐒀", 0.863629), ("𐒈", 0.863462), ("𐒒", 0.851124), ("𐒕", 0.849507), ("𐒄", 0.846506), ("𐒌", 0.838888), ("𐒛", 0.837111), ("𐒑", 0.836591), ("𐒚", 0.832998), ("𐒆", 0.830097), ("𐒐", 0.829268), ("𐒍", 0.829047), ("𐒜", 0.827018), ("𐒖", 0.826872), ("𐒅", 0.825775), ("𐒂", 0.817614), ("𐒗", 0.809768), ("𐒓", 0.808553), ("𐒊", 0.797259), ("𐒙", 0.786699), ("𐒝", 0.784060), ("𐒇", 0.751159)]
7: [("𐒗", 1.000000), ("𐒜", 0.944147), ("𐒌", 0.933034), ("𐒅", 0.931211), ("𐒕", 0.913594), ("𐒐", 0.901873), ("𐒈", 0.895557), ("𐒑", 0.894263), ("𐒔", 0.893983), ("𐒓", 0.893601), ("𐒒", 0.892502), ("𐒄", 0.886257), ("𐒝", 0.878467), ("𐒍", 0.873645), ("𐒙", 0.868743), ("𐒀", 0.867105), ("𐒁", 0.866157), ("𐒆", 0.864883), ("𐒋", 0.861146), ("𐒊", 0.854079), ("𐒎", 0.850390), ("𐒂", 0.848923), ("𐒉", 0.838336), ("𐒛", 0.837045), ("𐒖", 0.832643), ("𐒏", 0.828330), ("𐒘", 0.816490), ("𐒚", 0.813767), ("𐒃", 0.809768), ("𐒇", 0.720011)]
8: [("𐒋", 1.000000), ("𐒎", 0.969621), ("𐒀", 0.960721), ("𐒈", 0.952375), ("𐒔", 0.947629), ("𐒒", 0.939142), ("𐒁", 0.936435), ("𐒏", 0.933895), ("𐒉", 0.933577), ("𐒑", 0.925905), ("𐒄", 0.920798), ("𐒘", 0.914794), ("𐒆", 0.914153), ("𐒍", 0.913771), ("𐒐", 0.911818), ("𐒖", 0.908598), ("𐒌", 0.905382), ("𐒛", 0.905107), ("𐒕", 0.904237), ("𐒂", 0.904014), ("𐒚", 0.903689), ("𐒅", 0.900227), ("𐒜", 0.894712), ("𐒃", 0.893138), ("𐒓", 0.890514), ("𐒊", 0.878228), ("𐒙", 0.866842), ("𐒝", 0.861976), ("𐒗", 0.861146), ("𐒇", 0.791043)]
9: [("𐒐", 1.000000), ("𐒅", 0.965926), ("𐒒", 0.965344), ("𐒓", 0.963274), ("𐒍", 0.961887), ("𐒑", 0.957745), ("𐒄", 0.957301), ("𐒆", 0.951399), ("𐒌", 0.951324), ("𐒔", 0.948628), ("𐒈", 0.948105), ("𐒀", 0.936223), ("𐒕", 0.932840), ("𐒜", 0.932529), ("𐒂", 0.924637), ("𐒊", 0.922480), ("𐒙", 0.919015), ("𐒝", 0.913302), ("𐒛", 0.912925), ("𐒋", 0.911818), ("𐒉", 0.907815), ("𐒖", 0.903602), ("𐒗", 0.901873), ("𐒁", 0.900112), ("𐒎", 0.891939), ("𐒘", 0.877399), ("𐒚", 0.874553), ("𐒏", 0.863151), ("𐒃", 0.829268), ("𐒇", 0.779371)]
10: [("𐒖", 0.986701), ("𐒂", 0.950192), ("𐒚", 0.940609), ("𐒀", 0.940415), ("𐒆", 0.930708), ("𐒍", 0.929411), ("𐒑", 0.927668), ("𐒒", 0.927255), ("𐒊", 0.925944), ("𐒈", 0.919153), ("𐒋", 0.918127), ("𐒉", 0.913965), ("𐒐", 0.912823), ("𐒓", 0.908330), ("𐒛", 0.906587), ("𐒙", 0.906582), ("𐒔", 0.906499), ("𐒄", 0.902398), ("𐒎", 0.900206), ("𐒝", 0.892394), ("𐒅", 0.890538), ("𐒘", 0.887096), ("𐒌", 0.880657), ("𐒜", 0.878676), ("𐒁", 0.874069), ("𐒕", 0.870852), ("𐒏", 0.870083), ("𐒗", 0.840261), ("𐒃", 0.833382), ("𐒇", 0.828927)]
