rank;time_s;freq_from_hz;freq_to_hz;energy
167;15.000;50;100;5.49061539e+02
168;4.300;500;550;5.45046963e+02
169;4.400;300;350;5.32696227e+02
170;4.400;650;700;5.15838930e+02
171;4.500;250;300;5.15631418e+02
172;15.100;150;200;5.11011141e+02
173;13.300;250;300;4.82565415e+02
174;8.100;100;150;4.82329305e+02
175;12.900;100;150;4.81934624e+02
176;8.000;150;200;4.77388886e+02
177;8.900;150;200;4.76738052e+02
178;9.000;200;250;4.75939341e+02
179;12.400;400;450;4.75465443e+02
180;5.600;350;400;4.67979165e+02
181;14.900;250;300;4.63413864e+02
182;14.800;150;200;4.60685357e+02
183;9.000;150;200;4.59277413e+02
184;4.400;700;750;4.52392235e+02
185;13.100;150;200;4.51173464e+02
186;14.900;300;350;4.44190831e+02
187;0.500;250;300;4.44149431e+02
188;15.400;100;150;4.33545622e+02
189;5.400;400;450;4.29074759e+02
190;15.000;300;350;4.27403494e+02
191;4.300;350;400;4.26887632e+02
192;12.500;400;450;4.24015711e+02
193;14.100;250;300;4.20572519e+02
194;8.100;250;300;4.16593080e+02
195;9.300;250;300;4.16530779e+02
196;14.900;50;100;4.14705574e+02
197;12.000;100;150;4.12571902e+02
198;12.400;50;100;4.12195202e+02
199;13.600;300;350;3.95398485e+02
200;9.000;1050;1100;3.93828028e+02
201;12.600;400;450;3.90845216e+02
202;8.900;250;300;3.89376168e+02
203;1.200;350;400;3.89365062e+02
204;4.600;250;300;3.84779550e+02
205;5.200;300;350;3.82217158e+02
206;14.300;700;750;3.81961108e+02
207;4.100;50;100;3.78127398e+02
208;9.100;1050;1100;3.65760867e+02
209;12.200;400;450;3.65756977e+02
210;13.100;100;150;3.65221024e+02
211;12.300;400;450;3.61860511e+02
212;9.500;300;350;3.57370311e+02
213;4.500;300;350;3.55456314e+02
214;8.700;400;450;3.52970724e+02
215;15.500;100;150;3.39748688e+02
216;4.800;150;200;3.39287757e+02
217;13.000;400;450;3.35511284e+02
218;15.000;400;450;3.35437643e+02
219;14.300;350;400;3.33043746e+02
220;1.100;400;450;3.29491613e+02
221;14.300;650;700;3.29280874e+02
222;9.400;250;300;3.22736326e+02
223;4.400;350;400;3.20848575e+02
224;15.200;150;200;3.20205171e+02
225;8.500;100;150;3.19098051e+02
226;4.400;500;550;3.17602627e+02
227;8.500;50;100;3.17349875e+02
228;8.000;300;350;3.10641995e+02
229;15.000;250;300;3.10511297e+02
230;13.000;200;250;3.09967666e+02
231;5.700;350;400;3.01955723e+02
232;12.100;250;300;3.01009537e+02
233;12.100;100;150;3.00984214e+02
234;8.200;250;300;2.99461128e+02
235;12.500;50;100;2.99418991e+02
236;14.200;250;300;2.97707555e+02
237;12.500;300;350;2.91217535e+02
238;5.500;400;450;2.91172827e+02
239;13.200;150;200;2.90961426e+02
240;8.100;400;450;2.90789376e+02
241;14.900;150;200;2.86280253e+02
242;12.300;250;300;2.82918211e+02
243;15.100;50;100;2.81439599e+02
244;8.100;150;200;2.81360242e+02
245;14.000;250;300;2.80354703e+02
246;4.500;650;700;2.79788441e+02
247;9.000;1000;1050;2.79255453e+02
248;4.700;250;300;2.78153668e+02
249;15.400;400;450;2.74511095e+02
250;14.400;700;750;2.73610219e+02
251;15.300;400;450;2.72132557e+02
252;13.100;400;450;2.69791490e+02
253;14.100;500;550;2.65223060e+02
254;5.300;1550;1600;2.65075133e+02
255;12.900;400;450;2.63865119e+02
256;5.100;750;800;2.62533732e+02
257;15.600;100;150;2.62382064e+02
258;14.300;500;550;2.60314966e+02
259;8.900;100;150;2.58991029e+02
260;9.600;300;350;2.58230182e+02
261;14.400;350;400;2.57625154e+02
262;9.200;1050;1100;2.55543506e+02
263;1.300;350;400;2.55238667e+02
264;13.400;250;300;2.54047078e+02
265;9.100;1000;1050;2.53862266e+02
266;5.100;50;100;2.52788521e+02
267;15.500;400;450;2.52681529e+02
268;14.500;350;400;2.52097218e+02
269;5.000;1150;1200;2.51852119e+02
270;9.000;100;150;2.51242058e+02
271;12.500;250;300;2.50597112e+02
272;14.200;350;400;2.49845772e+02
