feature;before;after;abs_diff;rel_diff
K;3608693.00000000;4241262.00000000;632569.00000000;0.17529033
GLNU;413515.21557888;398802.82403162;14712.39154726;0.03557884
RLNU;803003.12294978;1012697.55116001;209694.42821023;0.26113775
GLNU_norm;0.11458864;0.09402928;0.02055936;0.17941879
RLNU_norm;0.22251910;0.23877269;0.01625359;0.07304358
